"team","birth_date","age","player_id","position","full_name"
"TB","1999-01-12","26","8136","RB","Rachaad White"
"MIA","2001-01-04","24","11610","WR","Malik Washington"
"NULL","1996-04-02","28","5024","WR","James Washington"
"NULL","1999-10-19","25","12413","WR","Hamze El-Zayat"
"NULL","1989-09-08","28","860","WR","Armon Binns"
"NULL","1991-05-25","30","2304","TE","Jerome Cunningham"
"NULL","1998-04-22","24","8070","WR","Travis Toivonen"
"NULL","1980-10-03","39","655","WR","Anquan Boldin"
"NULL","1995-11-01","27","6519","WR","Darrius Shepherd"
"NULL","2000-12-19","24","11918","WR","Ahmarean Brown"
"NULL","1987-07-23","37","2565","TE","Jean Sifrin"
"SEA","1997-06-05","28","4943","QB","Sam Darnold"
"NULL","NULL","NULL","5809","RB","Ja'Quan Gardner"
"CIN","1998-10-29","26","10228","WR","Charlie Jones"
"NULL","1995-01-03","27","4026","QB","DeShone Kizer"
"NULL","1990-11-01","31","1353","RB","Mike Gillislee"
"NULL","1990-02-12","31","1169","QB","Robert Griffin"
"CIN","1999-03-15","26","11598","TE","Tanner McLachlan"
"NULL","2000-04-16","24","11995","QB","Zack Annexstad"
"CAR","2001-11-28","23","11998","RB","Emani Bailey"
"CAR","1987-10-29","37","829","QB","Andy Dalton"
"GB","2000-04-28","25","10222","WR","Jayden Reed"
"LV","2000-04-10","25","7534","WR","Seth Williams"
"NULL","1991-09-10","33","2754","WR","Michael Johnson"
"NULL","1990-02-24","30","895","RB","Jordan Todman"
"NULL","1995-12-11","26","6388","TE","Romello Brooker"
"NULL","1993-03-23","25","3712","TE","Adam Fuehne"
"NULL","1989-04-10","35","2684","WR","Corbin Louks"
"NULL","1997-11-08","25","7905","TE","Dylan Soehner"
"NULL","NULL","NULL","12284","RB","Michael Herzog"
"KC","1999-01-30","26","11311","WR","Jason Brownlee"
"NULL","1978-11-17","39","194","WR","Reggie Wayne"
"NULL","1991-01-20","26","1953","WR","Travis Labhart"
"NULL","1994-02-01","27","4330","WR","JoJo Natson"
"NULL","1997-06-20","24","6072","RB","Bruce Anderson"
"WAS","2001-10-31","23","12532","WR","Ja'Corey Brooks"
"NULL","1992-06-15","29","2202","TE","Je'Ron Hamm"
"NULL","1995-03-07","28","3278","WR","Pharoh Cooper"
"NULL","1994-12-02","27","5165","QB","Quinton Flowers"
"NE","2000-12-28","24","12981","TE","Gee Scott"
"NULL","1992-07-27","32","2581","RB","Jahwan Edwards"
"NULL","1994-10-06","27","4544","WR","Daikiel Shorts"
"NULL","1995-06-04","26","4418","RB","LeShun Daniels"
"GB","2000-01-11","25","11370","RB","Chris Brooks"
"NULL","1991-05-15","30","6196","RB","Christian Wade"
"NULL","1997-10-05","27","7794","RB","Chris Evans"
"NULL","1988-06-16","33","530","TE","Jermaine Gresham"
"NULL","1981-11-02","38","4","WR","Roddy White"
"LV","1999-12-14","25","11574","RB","Dylan Laube"
"NYJ","1996-05-15","29","6323","RB","Andrew Beck"
"NULL","1999-01-27","25","7606","WR","Kadarius Toney"
"ARI","1998-06-09","27","6927","WR","Quez Watkins"
"NULL","1990-08-09","30","1589","WR","Quinton Patton"
"NULL","1981-09-08","39","316","WR","Malcom Floyd"
"NULL","1994-06-21","30","3615","RB","Sione Houma"
"NULL","1991-10-29","33","2561","QB","Anthony Boone"
"NULL","1979-08-17","38","226","WR","Antwaan Randle El"
"TB","NULL","NULL","13246","WR","Jaden Smith"
"TB","1999-04-15","26","8111","TE","Cade Otton"
"NULL","1991-08-14","33","2929","WR","Adrian Coxson"
"NULL","1990-04-09","27","974","RB","Ryan Williams"
"NULL","1995-02-11","26","6742","RB","Marquis Young"
"NULL","1998-08-19","24","8245","TE","Derrick Deese"
"NULL","1995-01-22","28","4061","QB","Davis Webb"
"WAS","1993-06-16","32","3269","WR","Chris Moore"
"NULL","1996-11-28","28","6970","TE","Stephen Sullivan"
"NULL","1991-04-27","30","1944","RB","Alfred Blue"
"NULL","1997-07-04","24","8092","RB","Corey Taylor"
"NULL","1996-11-06","25","6259","RB","Darnell Holland"
"CLE","1999-10-17","25","12374","TE","Brenden Bates"
"NULL","1990-12-04","34","2957","TE","Ernst Brun"
"MIA","2001-07-26","24","12866","TE","Jalin Conyers"
"NULL","1992-06-02","28","2789","WR","Lucky Whitehead"
"NULL","NULL","NULL","6522","QB","T.J. Linta"
"NULL","1992-10-17","31","1911","WR","Willie Snead"
"NULL","1990-01-26","34","1034","RB","Brandon Bolden"
"NULL","NULL","NULL","4798","WR","C.J. Germany"
"NULL","1991-09-20","30","2503","TE","A.J. Derby"
"NULL","NULL","NULL","5808","QB","Connor Jessop"
"NULL","1995-08-09","26","5242","WR","Dontez Byrd"
"NULL","1990-04-07","27","1664","TE","Ryan Otten"
"NULL","1993-04-29","25","3924","TE","Clayton Echard"
"NULL","1996-01-07","28","5026","WR","Tre'Quan Smith"
"LAC","2001-08-28","23","11647","RB","Kimani Vidal"
"NULL","1997-03-07","26","6045","WR","Gary Jennings"
"NULL","1994-09-10","27","4821","WR","Jamari Staples"
"NULL","1981-05-01","39","177","WR","Wes Welker"
"NULL","1990-05-04","30","2282","RB","Fitzgerald Toussaint"
"NULL","1993-03-07","27","2400","RB","Matt Jones"
"NULL","1997-01-16","26","6395","WR","Trinity Benson"
"NULL","1989-03-15","28","1317","TE","Brandon Barden"
"NULL","1989-12-14","30","1206","RB","Isaiah Pead"
"NULL","1998-09-29","24","11478","WR","Gavin Holmes"
"NULL","1999-09-27","23","8549","WR","Trevon Clark"
"NULL","1999-04-08","25","11266","WR","Thyrick Pitts"
"IND","1998-04-21","27","7608","RB","Khalil Herbert"
"SEA","1997-03-31","28","6402","WR","Steven Sims"
"TB","1998-01-20","27","8484","TE","Ko Kieft"
"NULL","1998-10-16","24","8213","WR","Dai'Jean Dixon"
"NULL","1999-01-07","24","11226","WR","Tyjon Lindsey"
"NULL","1990-06-13","31","1587","TE","Vance McDonald"
"NULL","1997-03-10","25","7412","RB","Sandro Platzgummer"
"NULL","1992-01-08","30","7499","TE","Paul Quessenberry"
"SEA","2002-02-14","23","9488","WR","Jaxon Smith-Njigba"
"PIT","2001-08-16","23","9510","RB","Lew Nichols"
"NYJ","2002-02-21","23","11571","RB","Isaiah Davis"
"MIA","1998-11-25","26","7526","WR","Jaylen Waddle"
"NULL","1982-12-28","37","6738","RB","Cedric Benson"
"NULL","NULL","NULL","8425","RB","Player Invalid"
"NULL","1997-06-21","24","4949","RB","Derrius Guice"
"NULL","1989-12-12","27","1137","WR","Juron Criner"
"NULL","1989-07-27","31","1045","WR","Trevor Graham"
"CHI","NULL","NULL","13079","WR","Jahdae Walker"
"NULL","2000-12-20","22","8115","TE","Jalen Wydermyer"
"NULL","1995-11-14","26","6248","WR","Trevion Thompson"
"NULL","1995-03-30","26","3386","TE","Thomas Duarte"
"NULL","1987-02-26","34","394","WR","Darrius Heyward-Bey"
"NULL","1993-08-20","27","2824","WR","Donteea Dye"
"SEA","NULL","NULL","13047","RB","Jacardia Wright"
"NULL","1994-08-06","27","4508","WR","Gabe Marks"
"IND","1999-09-02","25","12820","WR","Landon Parker"
"NULL","1998-12-26","25","11505","WR","David Durden"
"NULL","1996-01-24","27","5911","WR","Jalen Hurd"
"NULL","1983-01-10","34","195","WR","Courtney Roby"
"NULL","1992-11-11","29","3650","WR","Maurice Harris"
"NE","1992-09-21","29","2944","TE","Matt LaCosse"
"NULL","1990-12-27","31","3036","TE","Matt Lengel"
"NULL","1995-11-05","26","6343","QB","Manny Wilkins"
"NULL","1994-05-02","27","5132","WR","Steven Mitchell"
"NULL","1998-02-09","23","6993","TE","Dominick Wood-Anderson"
"NULL","1985-10-13","38","345","QB","Brian Hoyer"
"NULL","1983-01-14","37","128","WR","Vincent Jackson"
"NO","1999-04-11","26","6820","RB","Clyde Edwards-Helaire"
"NULL","1996-10-24","25","7008","QB","Brian Lewerke"
"NULL","1996-03-08","25","5169","WR","Malik Earl"
"CHI","2000-02-22","25","11931","QB","Austin Reed"
"NULL","1999-01-14","26","7713","WR","Jaelon Darden"
"NULL","2000-05-24","24","12333","WR","Dakereon Joyner"
"NULL","NULL","NULL","4784","WR","Levonte Whitfield"
"NULL","1992-03-01","26","2100","RB","Silas Redd"
"NULL","1995-02-17","29","5092","TE","Troy Fumagalli"
"NO","1993-09-25","31","2197","WR","Brandin Cooks"
"NULL","1990-07-25","31","1718","TE","Derek Carrier"
"NULL","1992-09-07","26","3873","WR","Ben Roberts"
"NULL","1996-02-05","25","6236","RB","Travon McMillian"
"IND","1997-05-27","28","5870","QB","Daniel Jones"
"NULL","NULL","NULL","8905","TE","Travis Koontz"
"NULL","2001-04-12","23","12373","WR","Peter LeBlanc"
"NULL","1997-10-04","26","5290","WR","Deontay Burnett"
"NULL","1986-05-21","34","297","WR","Eddie Royal"
"NULL","1994-06-04","29","2463","TE","Jesse James"
"NULL","1991-09-15","33","4723","WR","Justin Thomas"
"NULL","1997-11-07","27","12250","TE","Riley Sharp"
"NULL","1993-07-06","29","3568","WR","Marken Michel"
"NULL","1995-05-15","26","5322","TE","James Looney"
"NULL","1999-05-10","23","8878","TE","Jared Scott"
"NULL","1994-03-20","27","4214","WR","Shelton Gibson"
"NULL","1991-12-16","31","2391","RB","David Johnson"
"BUF","1998-07-09","27","7064","RB","Darrynton Evans"
"NULL","1982-05-17","39","389","QB","Matt Cassel"
"NULL","1997-08-24","24","7088","RB","Xavier Jones"
"NULL","1992-05-30","26","3007","WR","Avius Capers"
"MIN","1997-07-03","28","5844","TE","T.J. Hockenson"
"NULL","1991-01-20","30","3920","WR","Harvey Binford"
"NULL","1990-06-18","31","2835","RB","Paul Lasike"
"NULL","2001-02-07","23","11947","RB","Austin Jones"
"NULL","1983-04-21","37","154","QB","Tarvaris Jackson"
"NULL","1992-08-28","28","2088","RB","Andre Williams"
"NULL","1994-11-10","27","4710","WR","Gio Pascascio"
"NULL","1991-02-21","29","1682","RB","Cierre Wood"
"NE","2002-10-22","22","12529","RB","TreVeyon Henderson"
"NULL","1987-06-08","33","565","TE","Tony Moeaki"
"NULL","1987-11-03","34","980","QB","Colin Kaepernick"
"NULL","1993-08-15","29","3664","RB","J.D. McKissic"
"NULL","1993-11-16","31","4127","QB","C.J. Beathard"
"NULL","NULL","NULL","12913","WR","J.J. Jones"
"NULL","1986-11-04","35","613","WR","Brandon LaFell"
"GB","1997-05-21","24","5957","TE","Isaac Nauta"
"MIN","2000-06-09","25","7601","WR","Rondale Moore"
"NULL","1987-09-21","32","611","QB","Jimmy Clausen"
"NULL","1987-04-07","35","367","TE","Jared Cook"
"BAL","2000-11-14","24","13154","RB","Marcus Major"
"NULL","1993-11-19","28","4630","RB","I'Tavius Mathers"
"NULL","1995-11-07","26","5196","TE","Ethan Wolf"
"NULL","1991-10-14","26","1650","RB","Cameron Marshall"
"DET","2002-02-20","23","12535","WR","Isaac TeSlaa"
"NULL","1994-07-24","28","5170","RB","Phillip Lindsay"
"CHI","1999-01-14","26","6790","RB","D'Andre Swift"
"NULL","1997-04-24","26","6146","TE","Kaden Smith"
"NULL","1986-12-17","30","1763","WR","Greg Orton"
"LV","1990-10-10","34","1373","QB","Geno Smith"
"NULL","1997-12-23","24","7162","TE","Ryan Becker"
"SF","2002-01-21","23","12491","RB","Corey Kiner"
"NULL","1997-08-31","24","6358","WR","Kahlil Lewis"
"MIA","1998-03-02","27","6768","QB","Tua Tagovailoa"
"NYG","1997-09-03","27","6130","RB","Devin Singletary"
"NULL","1994-08-10","30","3531","RB","Marshaun Coprich"
"NULL","NULL","NULL","12276","WR","RJ Mobley"
"DAL","1995-09-11","26","5004","RB","Ito Smith"
"NULL","1993-09-07","28","4923","RB","Rushel Shell"
"DET","2001-01-31","24","12356","RB","Jabari Small"
"PHI","1998-08-07","27","6904","QB","Jalen Hurts"
"NULL","1993-06-15","29","2450","QB","Brett Hundley"
"NULL","1993-10-11","28","4797","RB","Josh Rounds"
"NULL","1989-02-09","28","1321","WR","Mike Brown"
"NULL","1991-03-22","26","2564","WR","Duron Carter"
"NULL","1984-03-23","37","648","WR","Brandon Marshall"
"NULL","1986-05-05","31","454","RB","Chris Ogbonnaya"
"NULL","1990-09-22","28","1505","WR","Josh Lenz"
"NULL","1997-09-14","23","7097","RB","Tra Barnett"
"MIA","1999-08-03","26","7538","QB","Zach Wilson"
"NULL","1992-02-25","29","2769","WR","Larry Pinkard"
"KC","1998-05-02","27","7561","RB","Elijah Mitchell"
"NULL","1995-10-06","27","7376","QB","Case Cookus"
"NULL","1995-12-31","26","5129","WR","Adonis Jennings"
"NULL","1992-03-19","31","5828","WR","Diontae Spencer"
"NULL","1992-05-27","29","3209","RB","Devontae Booker"
"NULL","2000-02-01","22","8409","WR","Tyler Snead"
"JAX","2003-03-10","22","12898","QB","Seth Henigan"
"NULL","1992-11-23","29","3612","TE","Hakeem Valles"
"NULL","1986-01-04","31","456","TE","Deon Butler"
"MIN","2002-01-17","23","12950","WR","Robert Lewis"
"NULL","1997-04-15","26","7458","WR","Isaiah Zuber"
"LAC","2001-11-11","23","11635","WR","Ladd McConkey"
"NULL","1988-03-20","29","716","TE","Steve Maneri"
"NULL","NULL","NULL","11591","TE","Player Invalid"
"SEA","2002-02-06","23","12475","WR","Ricky White"
"WAS","1999-03-22","26","8154","RB","Brian Robinson"
